EN,RUS,TH,TH 2244/2828 (79.35%)
Was that the fish from the bridge?,Это была рыба с моста?,ใช่ปลาที่เจอตรงสะพานนั่นมั้ย?,
I think he’s happy because I saved him.,"Думаю, он счастлив, потому что я его спасла.",หนูคิดว่ามันดีใจที่หนูช่วยมันไว้,
You remember I saved him? From the bridge? Remember?,"Помнишь, я его спасла? С моста? Помнишь?",คุณจำได้มั้ยว่าหนูช่วยมันไว้? ที่สะพานไง? จำได้มั้ย?,
"Yes, I remember.","Да, я помню.",อือ จำได้สิ,
"Did you see the kiss he gave me, on my mouth?","Видел, как он меня поцеловал, в губы?",เขาจุ๊บหนูที่ปากด้วย เห็นมั้ย?,
Because I saved him.,Потому что я его спасла.,เพราะหนูช่วยมันไว้,
Somebody loves me.,Меня кто-то любит.,อย่างน้อยก็มีใครที่รักหนูบ้าง,
"Well, the only fish I know is buried.","Что ж, единственная рыба, которую я знаю, похоронена.",เอ่อ ปลาตัวเดียวที่หนูรู้จักโดนฝังไปแล้ว,
"Look, Rodrigo, we need to talk.","Слушай, Родриго, нам нужно поговорить.",เอาล่ะโรดริโก้ เราต้องคุยกันนิดนึง,
"I don't know what the Kraken is, but I'm very curious.","Я не знаю, что такое Кракен. Но мне крайне любопытно.",หนูไม่รู้ว่าเครเคนเป็นตัวอะไร แต่หนูอยากรู้มากเลย,
"So, I'll just place you here... and see what happens.","Поэтому, я оставлю тебя здесь... и посмотрю, что произойдёт",งั้น เราวางเธอตรงนี้นะ... แล้วดูกันว่าจะเกิดอะไรขึ้น,
Rodrigo!,Родриго!,โรดริโก้!,
And there's the Kraken.,А вот и Кракен.,นั่นก็คราเคนไงล่ะ,
I think you missed your opportunity.,"Кажется, ты упустила свою возможность.",คิดว่าเธอน่าจะพลาดโอกาสนั้นไปแล้ว,
"Ah, just my luck.","Ох, не везёт мне.",เห้อ ดวงหนูนี่นะ,
"But hey, don't be sad. We are getting close to the Eternal Happiness.",Ну не грусти. Мы уже близко к Вечному Счастью.,แต่เอาน่า อย่าเศร้าไปเลย เราเข้าใกล้ความสุขนิรันดร์มากแล้วนะ,
I've been hearing that all day.,Я весь день это слышу.,หนูได้ยินคำนี้มาทั้งวันแล้ว,
It's not my fault!,Это не моя вина!,ไม่ใช่ความผิดฉันนะ!,
"Oh yeah, right.","О, да, верно.",อ่อ อืมๆ,
"Look, I only have Rodrigo's bones... Let's see what happens.","У меня есть только кости Родриго... Посмотрим, что произойдёт",ดูสิ หนูมีแค่กระดูกก้างโรดริโก้... จะเกิดอะไรขึ้นกันนะ,
"Ah. Bye, Rodrigo!","Ах. Прощай, Родриго!",เอ่อ ลาก่อนนะโรดริโก้!,
Is one allowed to talk?,Здесь можно разговаривать?,เขาอนุญาตให้คุยกันได้มั้ย?,
I want to pet the Kraken.,Я хочу погладить Кракена.,หนูอยากลูบเจ้าเครเคนเล่นบ้าง,
If it's possible.,Если это возможно.,ถ้าทำได้นะ,
I guess I won't be petting the Kraken...,"Видимо, я не поглажу Кракена...",เดาว่าแบบนี้หนูคงไม่ได้ลูบเจ้าเครเคนแล้ว...,
Because he was in love with me...,Потому что он влюблён в меня...,คงเพราะมันตกหลุมรักหนูแน่...,
Can one pet the Kraken now?,Можно теперь погладить Кракена?,มีใครได้ลูบเจ้าเครเคนบ้างมั้ย?,
The fox stole it.,Лис украл его.,เจ้าจิ้งจอกนั่นขโมยไปต่างหาก,
"And if I see you, I will know it is you.","А если я тебя увижу, я пойму, что это ты.",ฉันคงรู้ว่าเเป็นเธอถ้าได้เห็นตัวเป็นๆ,
What is this?!,Что это?!,นี่มันอะไรกัน?!,
Release the fish,Отпустить рыбу,ปล่อยปลา,
Question the ferryman,Спросить лодочника,ถามคนพายเรือ,
MORGO,,มอร์โก,
"Hmm... I just have one ticket, so I can just ride one ride...","Хмм... У меня только один билет, значит, я могу прокатиться лишь раз ...",,
I'm gonna look around first.,Я сначала осмотрюсь.,,
Alright.,Хорошо.,โอเค,
I don't feel so good...,Мне нехорошо...,,
You think you're going to puke?,"Думаешь, тебя стошнит?",,
"I don't want to, but the ride went too fast...","Мне бы не хотелось, но поездка прошла слишком быстро...",,
"Alright, good. Take a deep breath and you'll soon feel better!","Ладно, хорошо. Вдохни глубже, скоро тебе станет легче!",,
*inhales*,*вдыхает*,,
*exhales* Okay...,*выдыхает* Хорошо...,,
"Ah, my heart hurts...","Ох, у меня болит сердце...",,
"What is it, Misfortune?","Что такое, Неудача?",อะไรรึ ยัยตัวซวย?,
I don't know...,Не знаю...,,
"Well, I told you not to eat it.","Ну, я говорил тебе не есть их.",,
"Yeah, that's true... Silly me.","Да, ты прав... Я такая глупая.",,
Happiness to Misfortune!,Счастья Неудаче!,,
Much better!,Намного лучше!,,
"Good, good.","Хорошо, хорошо.",,
